include_1,SUM_RFL,polymorph_yes1,nonbird_1,polymorphic,pink5_white1_poly3,species,records,elevation,MAP,flowers_per_head,long,range_area_albers,Max_long,min_long,stdev_long,MAP_MAX,MAP_MIN,MAX_ELE,MIN_ELE,Schnitzler_name,Valente_name,Atlas_name
0,no,0,1,no,5,acaulos,3808,662.3913,781.6594013,94,18.95181405,21480.17,20.864,18.32167,0.336312432,3053,0,1823,0,Protea_acaulos,Pracau,PRACAU
0,no,0,1,no,5,acuminata,501,977.3234,468.2914172,85.28571429,19.21741473,4481.1,19.43817,18.78983,0.108532485,915,194,1656,238,Protea_acuminata,Pracum,PRACUM
0,no,0,1,no,5,amplexicolis,1243,1006.2043,551.1657281,146.3333333,19.47523504,7876.02,20.07533,18.96783,0.260635375,2067,202,1922,169,Protea_amplexicaulis,Prampl,PRAMPL
0,no,1,1,yes,3,angustata,101,125.0099,839.029703,96,19.00321109,191.64,19.38217,18.81533,0.135046046,1132,561,695,15,Protea_angustata,Prangu,PRANGU
1,no,0,0,no,5,aristata,79,991.4684,349.721519,397,21.24508899,155.5,21.68017,20.9715,0.162676283,474,218,1474,661,Protea_aristata,Praris,PRARIS
0,no,1,1,yes,3,aspera,674,211.6499,511.5192878,.,19.81131763,1644.89,21.81817,19.20283,0.325719729,756,344,837,17,Protea_aspera,Praspe,PRASPE
1,no,1,0,yes,3,aurea,610,825.4016,574.1803279,77.6141596,21.06965852,1957.13,22.46883,19.29567,0.897328892,1078,280,1615,223,Protea_aurea,Praurea,PRAUREA
1,no,1,0,yes,3,burchelli,634,329.9274,657.2397476,130.3333333,18.94133344,7762.06,19.35583,18.39683,0.21621771,1282,206,1212,48,Protea_burchelli,Prburc,PRBURC
0,no,0,1,no,5,caespitosa,37,1312.9459,1438.540541,.,19.06802345,502.41,19.258,18.97633,0.095900405,3053,417,1782,793,Protea_caespitosa,Prcaes,PRCAES
0,yes,1,0,yes,3,caffra,2751,1448.0912,861.6677572,179.1439394,29.27892473,322724.4,32.60333,26.06667,1.299687291,1855,0,2379,15,Protea_caffra,Prcaff,PRCAFF
0,no,0,1,no,5,canaliculata,760,1315.8882,286.7,176.8333333,20.8562173,1450.28,22.414,19.41833,0.811973104,720,130,1682,633,Protea_canaliculata,Prcana,PRCANA
1,no,0,0,no,5,compacta,904,187.9436,580.3761062,114.4,19.55828626,2306.02,20.04617,18.9715,0.308511268,1358,0,625,2,Protea_compacta,Prcpct,PRCPCT
0,yes,0,0,no,1,comptonii,55,1255,853.6545455,152.9583333,31.119364,554.45,31.3345,30.97367,0.08258945,996,730,1773,609,Protea_comptonii,Prcomp,PRCPTN
0,no,0,1,no,5,convexa,129,1378.7829,209.875969,.,20.82405667,411.49,21.43333,19.33433,0.432075215,310,138,1958,878,Protea_convexa,Prconv,PRCONV
0,no,0,1,no,5,cordata,883,393.6183,787.8742922,88.25,19.35035222,3702.68,21.36017,18.83833,0.478672371,1694,322,1523,35,Protea_cordata,Prcord,PRCORD
1,no,0,0,no,1,coronata,992,409.629,821.2852823,361.7142857,20.38178449,5539.94,25.2725,18.342,1.870489498,2067,314,1185,16,Protea_coronata,Prcoro,PRCORO
0,no,1,1,yes,3,cryophila,57,1660.5439,434.2631579,1002.5,19.16843544,63.79,19.227,19.148,0.016924093,487,354,1951,934,Protea_cryophila,Prcryo,PRCRYO
0,yes,0,0,no,5,curvata,17,747.5882,685.7058824,92,31.05534353,6.05,31.07067,31.04233,0.007529371,695,677,869,676,Protea_curvata,Prcurv,PRCURV
1,no,1,0,yes,3,cyanroides,8521,642.2049,823.8753667,318.1111111,20.00464166,36239.32,27.05533,18.3205,1.81555922,3198,0,1742,0,Protea_cynaroides,Prcyna,PRCYNA
0,no,0,1,no,5,decurrans,75,197.4,505.64,115.25,20.53437307,478.7,21.49383,19.41667,0.705249883,682,407,552,39,Protea_decurrens,Prdecu,PRDECU
0,no,0,1,no,5,denticulata,301,228.4518,480.3654485,162,20.63486249,98.34,20.864,20.52533,0.089336683,649,0,568,0,Protea_denticulata,Prdent,PRDENT
0,yes,1,0,yes,3,dracomontana,285,1972.5719,1198.491228,216.5,29.3024726,7073.93,30.29317,28.755,0.248261054,1855,782,2455,1033,Protea_dracomontana,,PRDRAC
0,no,1,1,yes,3,effusa,111,1563.6667,582.8198198,157,19.34202405,3066,19.74083,19.0625,0.160396002,939,291,2043,672,Protea_effusa,Preffu,PREFFU
1,no,0,0,no,5,eximia,2397,1093.5657,470.9107217,151.75,21.97467476,17856.75,25.2725,19.42833,1.264756981,1121,144,1981,76,Protea_eximia,Prexim,PREXIM
0,no,1,1,yes,3,foliosa,628,576.6704,598.0015924,.,25.21639705,4369.87,26.8805,24.64,0.384383388,806,280,1147,87,Protea_foliosa,Prfoli,PRFOLI
0,yes,1,0,yes,3,gaguedi,316,1276.1962,889.3765823,83.1,30.53390986,46269.74,32.95867,26.0645,1.27277776,1550,540,1968,538,Protea_gaguedi,Prgagu,PRGAGU
1,no,1,0,yes,3,glabra,1093,795.1821,312.4428179,199.5,19.11741253,8179.75,19.745,18.6685,0.264670985,640,146,1463,140,Protea_glabra,Prglab,PRGLAB
1,no,0,0,no,5,grandiceps,660,1131.4076,869.2969697,482,20.59115527,3421.76,24.97833,18.415,1.62801037,3198,188,1811,190,Protea_grandiceps,Prgran,PRGRAN
1,no,0,0,no,1,holoseriaceae,33,1302.3636,308.5454545,.,19.65268758,6.44,19.67417,19.63117,0.0109517,332,241,1597,1058,Protea_holoseriaceae,Prholo,PRHOLO
0,no,0,1,no,5,humiflora,443,785.5011,304.1444695,301,20.17938485,6468.37,21.89133,19.36667,0.514864245,848,138,1321,201,Protea_humiflora,Prhumi,PRHUMI
1,no,0,0,no,1,inopina,19,593.2632,382.9473684,.,18.83590316,1,18.84467,18.82267,0.005833221,405,373,697,430,Protea_inopina,Prinop,PRINOP
0,no,0,1,no,5,intonsa,305,1308.941,275.6918033,121.5,23.25911554,1624.92,24.25383,22.19517,0.483998186,579,129,1981,757,Protea_intonsa,Printo,PRINTO
1,no,1,0,yes,3,lacticolor,81,1013.7407,1426.938272,115.9442857,19.07436642,407.6,19.264,18.94583,0.086916901,2452,754,1444,590,Protea_lacticolor,Prlact,PRLACT
0,yes,0,0,no,5,laetans,24,1222.6667,753.5833333,108.5,30.78042417,33.25,30.84867,30.74183,0.023775671,1001,614,1458,1041,Protea_laetans,Prlaet,PRLAET
0,no,1,1,yes,3,laevis,663,1337.6486,411.9577677,.,19.25401066,5235.44,19.67167,19.04867,0.1246246,894,180,2013,534,Protea_laevis,Prlaev,PRLAEV
1,no,0,0,no,1,lanceolata,353,176.2946,431.1728045,77.42857143,21.57350428,1957.74,22.2135,20.73433,0.43434357,685,293,459,33,Protea_lanceolata,Prlanc,PRLANC
1,no,1,0,yes,3,laurifolia,11013,797.3857,460.2259148,313.7,19.3144803,31559.21,20.807,18.397,0.478591335,1551,127,1853,25,Protea_laurifolia,Prlaur,PRLAUR
1,no,1,0,yes,3,lepidocarpdendron,2070,316.2169,871.2323671,229.5,18.58410335,2316.05,19.73,18.32,0.301170699,1757,0,901,0,Protea_lepidocarpodendron,Prlepi,PRLEPI
1,no,1,0,yes,3,longifolia,1638,292.8596,646.4163614,284.8455882,19.42627449,4475.26,20.04867,18.84167,0.304089958,1437,344,1349,15,Protea_longifolia,Prlong,PRLONG
1,no,0,0,no,1,lorea,91,456.0879,812.0989011,.,19.55732791,687.37,21.45217,18.86417,0.866234001,1648,426,778,101,Protea_lorea,Prlore,PRLORE
1,no,1,0,yes,3,lorifolia,5290,1068.145,376.0117202,523.1428571,21.69324321,32324.84,26.4635,19.429,1.269665619,1121,129,1959,126,Protea_lorifolia,Prlori,PRLORI
1,no,1,0,yes,3,magnifica,988,1315.831,508.215587,428,19.69276448,16991.24,21.8375,18.81667,0.748857745,2092,200,1957,259,Protea_magnifica,Prmagn,PRMAGN
0,no,1,1,yes,3,montana,111,1800.3153,396.5225225,99.25,22.17930171,32.02,22.93917,21.201,0.416799785,1069,152,2063,1173,Protea_montana,Prmont,PRMONT
1,no,1,0,yes,3,mundiiE,.,660.1057024,726.4297636,160,23.84970542,7891.5,25.27417,18.8505,1.491299959,1311,188,1685,59,Protea_mundii,Prmund,PRMUND
0,no,0,1,no,5,murcronifolia,26,70,590.7307692,46,19.02978231,9.57,19.04133,18.94783,0.01707873,632,549,75,52,Protea_murcronifolia,Prmurc,PRMUCR
0,no,0,1,no,5,namaquana,20,1358.65,249.65,.,18.0960845,16.77,18.13483,18.05217,0.024730353,300,225,1555,1206,Protea_namaquana,Prnama,PRNAMA
0,no,0,1,no,3,nana,227,650.0925,691.9867841,94,19.15849282,701.61,19.3645,19.07417,0.076749467,949,381,1712,256,Protea_nana,Prnana,PRNANA
1,no,1,0,yes,3,neriifolia,6399,625.641,637.0448508,321.6666667,21.70066927,28138.32,25.57667,18.8215,1.879184409,3198,0,1636,0,Protea_neriifolia,Prneri,PRNERI
1,no,1,0,yes,3,nitida,10006,651.4809,594.1884869,265.3125,19.99113029,47691.06,25.16983,18.31317,1.678204205,3198,0,1933,0,Protea_nitida,Prniti,PRNITI
0,yes,0,0,no,5,nubigena,5,2299.2,1259,71,28.902268,0,28.90267,28.9015,0.000466015,1259,1259,2380,2279,Protea_nubigena,Prnubi,PRNUBI
1,no,1,0,yes,3,obtusifolia,1341,103.4549,420.9291573,327,20.51673679,3205.64,21.86233,19.33367,0.620725901,575,0,444,0,Protea_obtusifolia,Probtu,PROBTU
0,no,0,1,no,5,odorata,33,114.1515,500.7272727,45,18.72544121,0.94,18.77667,18.59417,0.071374886,520,447,134,63,Protea_odorata,Prodor,PRODOR
0,yes,1,1,yes,3,parvula,44,1873.0682,915.1136364,87.42857143,30.55146955,11466.44,31.22633,30.11817,0.303889007,1499,718,2216,1340,Protea_parvula,Prparv,PRPARV
0,no,1,1,yes,3,pendula,546,1351.119,370.7032967,157,19.52815542,2382.69,20.358,19.15483,0.247627306,640,202,1823,877,Protea_pendula,Prpend,PRPEND
0,no,1,1,yes,3,piscina,752,840.9867,561.662234,76,19.28941318,3906.92,21.08517,18.50633,0.552787954,886,318,1604,77,Protea_piscina,Prpisc,PRPISC
0,no,0,1,no,5,pityphylla,53,1096.6792,600.4716981,.,19.33900962,158.31,19.52167,19.04917,0.100520087,949,280,1746,500,Protea_pityphylla,Prpity,PRPITY
0,no,0,1,no,5,pruniosa,39,1915.5385,256.025641,322,21.70644436,0.36,22.695,21.14867,0.591833459,293,235,2063,1605,Protea_pruinosa,Prprui,PRPRUI
0,no,0,1,no,5,pudens,66,75.8333,481.0454545,.,19.84028303,47.35,19.95917,19.76617,0.066237278,500,439,133,33,Protea_pudens,Prpude,PRPUDE
1,no,1,0,yes,3,punctata,2320,1437.5595,390.9137931,130.9766667,21.2478204,19772.05,24.26083,19.02667,1.447808251,1121,129,2023,424,Protea_punctata,Prpunc,PRPUNC
0,no,0,1,no,5,recondita,185,1315.8054,668.8216216,299.3333333,19.20213735,2682.57,19.4855,18.76833,0.150211388,868,386,1780,705,Protea_recondita,Prreco,PRRECO
1,no,1,0,yes,3,repens,15373,723.7432,545.3994015,87.96832579,20.35104528,77142.95,27.0755,18.20417,1.532239349,2452,0,1933,0,Protea_repens,Prrepe,PRREPE
0,no,1,1,yes,3,restionifolia,68,363.0735,397.2058824,.,19.45978456,1069.01,19.62367,19.16717,0.103398465,608,228,1227,64,Protea_restionifolia,Prrest,PRREST
0,no,0,1,no,5,revoluta,381,1251.0682,279.2650919,.,20.0441232,454.26,20.697,19.2295,0.457012177,622,130,1543,841,Protea_revoluta,Prrevo,PRREVO
0,yes,1,0,yes,3,roupellia,1682,1535.5,916.353151,117.0277778,29.77787691,154054,31.92883,27.475,0.894348375,1781,432,2354,20,Protea_roupellia,Prroup,PRROUP
0,yes,0,0,no,5,rubropilosa,116,1681.6983,814.3189655,189.3666667,30.27558879,1878.14,30.91333,29.63333,0.398360076,1591,444,2104,863,Protea_rubropilosa,Prrubr,PRRUBR
1,no,0,0,no,5,rupicola,114,1605.3509,425.1842105,304,22.21049412,2605.18,24.93167,18.96833,1.736041164,3053,173,2023,869,Protea_rupicola,Prrupi,PRRUPI
0,no,1,1,yes,3,scabra,2256,446.8599,712.9490248,151.5,19.2604709,5950.68,20.13767,18.81533,0.295919811,1778,299,1388,0,Protea_scabra,Prscbr,PRSCBR
0,no,0,1,no,5,scabriuscula,93,1686.8495,416.827957,.,19.55429989,848.57,19.67667,19.19467,0.12485612,523,286,2186,973,Protea_scabriuscula,Prscab,PRSSCL
0,no,1,1,yes,3,scolopendriifolia,1283,1394.749,492.8043648,179.3333333,20.01054198,16290.1,23.53567,18.808,1.17293967,2069,130,2180,345,Protea_scolopendriifolia,Prsclp,PRSRFL
0,no,1,1,yes,3,scolymacephala,440,150.5591,627.8,97.33333333,18.47135786,6372.56,19.14,18.25967,0.160398393,1389,0,626,0,Protea_scolymacephala,Prscol,PRSPHL
1,no,1,0,yes,3,scorzonerifolia,295,556.4475,660.3661017,.,19.11960211,2741.95,19.372,18.7785,0.171542598,1674,381,1267,128,Protea_scorzonerifolia,Prscor,PRSCOR
0,yes,1,0,yes,3,simplex,506,1228.9328,1024.162055,.,29.81952899,81983.47,31.3925,26.665,1.197118794,1624,550,2304,15,Protea_simplex,Prsimp,PRSIMP
1,no,1,0,yes,3,speciosa,1303,594.4129,858.7582502,360.75,19.16225702,10324.39,21.743,18.32833,0.924227405,2086,0,1387,0,Protea_speciosa,Prspec,PRSPEC
1,no,0,0,no,5,stokei,75,843.2933,1355.64,.,18.9672868,392.57,19.13633,18.86583,0.074876811,2452,867,1381,491,Protea_stokei,Prstok,PRSTOK
0,no,0,1,no,5,subulifolia,755,675.9166,507.1748344,63.28571429,19.59332826,1885.66,20.792,18.972,0.359158746,1437,263,1540,12,Protea_subulifolia,Prsubu,PRSUBU
0,yes,1,0,yes,3,subvestita,408,1761.5147,939.7745098,180.4969931,28.2872624,25783.38,30.48367,25.5165,1.308155098,1813,348,2471,585,Protea_subvestita,Prsubv,PRSUBV
0,no,1,1,yes,3,sulphurea,462,1212.1537,226.7121212,597,20.61426095,4133.9,21.46767,19.63117,0.437266361,553,117,1641,658,Protea_sulphurea,Prsulp,PRSULP
1,no,0,0,no,5,susannae,963,127.9553,402.9231568,202,20.90145996,2908.32,21.873,19.33367,0.667315768,580,0,323,0,Protea_susannae,Prsusa,PRSUSA
0,no,1,1,yes,3,tenax,522,898.5939,462.8563218,204.5,23.77397299,5609.27,25.01767,22.15583,0.871057901,951,188,1764,31,Protea_tenax,Prtena,PRTENA
1,no,0,0,no,5,venusta,74,1725.8649,362.9054054,234.9,22.37933392,445.32,22.93583,21.49367,0.4646791,888,152,2012,1293,Protea_venusta,Prvenu,PRVENU
0,no,1,1,yes,3,vogtsiae,218,1127.7844,479.8302752,110,23.49349101,732.03,24.00533,23.123,0.215789926,932,249,1627,434,Protea_vogtsiae,Prvogt,PRVOGT
0,yes,1,0,yes,3,welwitschii,337,1461.3472,669.9139466,66.66666667,30.06464873,45614.6,33.03183,24.27183,2.258568052,1074,483,2041,31,Protea_welwitschii,Prwelw,PRWELW
0,no,0,1,no,5,witzenbergiana,361,1323.5623,477.0470914,148.6666667,19.37394989,3155.05,19.92,19.08867,0.207016615,788,202,1922,630,Protea_witzenbergiana,Prwitz,PRWITZ
