focal,year,species,site,location,ratio,diversity,Kent_scale,lat,long,gmap,MAT,altitud,PPTCON,flowers_per_head,prop_infested_per_plant,seed_mass,seeds_per_SH,leaf_area,repens$,veldage,burn_year,altitud_old
y,2008,aurea,MP,MP,less_than_ten_pink,0.5,2,-33.99629,20.45651,882,16.7,234,5.2,76.95,0.515,0.0263,5.137566138,20.90444444,notrepens,7.5,2002,263
y,2008,aurea,PV,PV,less_than_25_white,1,3,-33.9502,20.37055,439,15.5,997,5.2,80.57,0.659,0.0319,6.757083333,20.32,notrepens,9.5,1999,1062
y,2008,aurea,RP,RP,less_than_25_white,1,3,-33.90872,22.02348,723,16.6,529,9,74.42,0.688,0.0311,2.495119048,17.91932432,notrepens,20,1989,537
y,2011,aurea,Gpavg,GP,less_than_25_pink,1,3,-33.95856,21.21862,545,16.5,482,0.5,77.483,0.435294118,0.037669,4.936,20.927,notrepens,6,2005,491
y,2008,lacticolor,PK,PK,less_than_25_white,1,3,-34.01826,19.07807,1260,14.8,822,44.9,117.6,0.673,0.0322,8.357968074,22.7425,notrepens,10,1999,793
y,2008,lacticolor,PO2,PO2,less_than_ten_pink,0.5,2,-33.96764,19.14433,926,16.1,440,44.9,111.81,0.602,0.0309,2.5611699,16.7137037,notrepens,10,1999,476
y,2008,punctata,BBP,BBP,less_than_ten_white,0.5,4,-33.41927,22.68854,255,11.7,1929,5.1,137.62,0.093333333,0.0159,6.11492674,10.16076923,notrepens,15,1996,1931
y,2008,punctata,GB,GB,less_than_ten_white,0.5,4,-33.25397,19.48446,394,10.4,1339,35.3,136.94,0.362,0.0147,6.692795476,15.36740741,notrepens,25,1983,1303
y,2008,punctata,SPP,SPP,less_than_ten_white,0.5,4,-33.36256,22.06647,932,15.1,1203,5,124.26,0.307,0.0141,7.214206349,11.08467532,notrepens,16,1993,1203
y,2009,punctata,Jkavg,JK,less_than_ten_pink,0.5,2,-33.971505,19.499679,323,13.5,1481,35.7,132.88,0.084848485,0.019136,14.21,16.87,notrepens,6,2003,1396
y,2011,repens,ALC,Alicedale_roadside,pink,0,5,-33.24081,26.09839,429,16.7,677,12.1,94.125,0.75,0.069425,20.20083333,5.441627907,repens,.,.,651
y,2011,repens,ANY,Anysberg_CapeNature_Reserve,less_than_25_white,1,3,-33.49369,20.70409,224,13.7,1183,15.6,98.6,0.609,0.061623718,42.0078038,6.018222222,repens,20,1991,1152
y,2011,repens,BAN,Banghoek_Private_Reserve,less_than_ten_pink,0.5,2,-32.72662,18.64454,472,17.6,286,42.6,80,0.844,0.086692308,33.06034483,6.777954545,repens,5,2006,327
y,2011,repens,BAV,Baviaanskloof_roadside,less_than_25_white,1,3,-33.49336,23.63356,283,14.4,1025,5.7,96.7826087,0.489,0.055446667,27.71861472,5.221860465,repens,.,.,1022
y,2011,repens,BRD,Bredasdorp,equal,1,3,-34.54593,20.0386,476,16.9,183,25,57.93333333,0.568181818,0.126638889,28.3125,5.498888889,repens,20,1991,177
y,2011,repens,CDB,Cederberg_CapeNature_Reserve,white,0,1,-32.4064,19.10676,575,11.5,1014,46.8,115.6666667,0.711,0.0855,48.66666668,7.165909091,repens,15,1996,1042
y,2011,repens,CER,Ceres_Mountain_Municipality_Reserve,white,0,1,-33.36542,19.276,894,14.2,610,42,105.6842105,0.78,0.096532222,50.63059164,7.092439024,repens,9,2002,677
y,2011,repens,GAR,Garcias_pass,less_than_ten_pink,0.5,2,-33.96789,21.21982,545,17,495,0.5,89.66666667,0.442,0.061421111,46.67573696,3.545555556,repens,9,2002,579
y,2011,repens,KAR,Kareedouw_private_farm,less_than_25_pink,1,3,-33.87468,24.07328,580,17.2,445,9.9,97.65217391,0.667,0.052811594,40.93421053,5.599111111,repens,.,.,503
y,2011,repens,KLM,Kleinmond_Municipality_Reserve,less_than_ten_pink,0.5,2,-34.33109,19.03363,746,15.6,27,30.5,77.23529412,0.578,0.106121111,34.35714286,6.895454545,repens,25,1986,44
y,2011,repens,KSW,Klein_Swartberg_CapeNature_Reserve,less_than_ten_white,0.5,4,-33.45617,21.28479,348,16.1,936,3.4,88.467,0.822,0.062933333,29.24197531,3.874666667,repens,8,2003,995
y,2011,repens,LOE,Loerie_Dam,equal,1,3,-33.85452,25.0423,580,18.2,76,4.3,115.3809524,0.756,0.057208333,29.03401361,4.857727273,repens,.,.,84
y,2011,repens,MGU,Montegu,white,0,1,-33.7839,20.10137,294,16,335,32,96.3,0.725,0.064944444,18.90591398,4.679069767,repens,.,.,345
y,2011,repens,POT,DeHoop_Potberg,less_than_ten_pink,0.5,2,-34.41555,20.60545,409,17.3,121,15,62.33333333,0.72,0.12864,23.529,5.660227273,repens,20,1991,150
y,2011,repens,RIV,Riverlands,less_than_ten_white,0.5,4,-33.51604,18.55111,544,.,150,52,59.65,0.557692308,0.13816875,32.09850543,5.854375,repens,.,.,.
y,2011,repens,RND,Riviersonderend_CapeNature_Reserve,white,0,1,-34.10228,19.99314,425,16.7,345,23.1,83.5625,0.644,0.076987179,27.86666667,5.109318182,repens,13,1998,335
y,2011,repens,SWA,Swartberg_Pass_CapeNature_Reserve,less_than_ten_white,0.5,4,-33.34953,22.04591,744,13.7,1494,19.5,97.29166667,0.467,0.055454167,44.27910053,4.829555556,repens,21,1990,1509
y,2011,repens,UNI,Uniondale_roadside,less_than_25_white,1,3,-33.72581,23.05253,487,14.1,971,9.3,93.61111111,0.556,0.052293333,18.04444444,5.179772727,repens,21,1990,987
