analysis-full.txt 
  Dbar: 207.5032
  Dhat: 77.90697
    pD: 129.5962
   DIC: 337.0994



 analysis-full.txt results...Inference for Bugs model at "analysis-full.txt", fit using jags,
 5 chains, each with 30000 iterations (first 5000 discarded), n.thin = 5
 n.sims = 25000 iterations saved
                           mu.vect sd.vect    2.5%     25%     50%     75%   97.5%  Rhat n.eff
alpha.pink.0[1]             -2.374   2.558  -7.380  -4.089  -2.358  -0.646   2.638 1.001 11000
alpha.pink.0[2]              1.581   2.568  -3.370  -0.179   1.546   3.340   6.648 1.001 12000
alpha.pink.0[3]             -1.446   2.582  -6.486  -3.160  -1.461   0.273   3.633 1.002  3600
alpha.pink.0[4]              4.973   2.590  -0.067   3.224   4.970   6.709  10.110 1.002  4000
alpha.pink.elev             -3.267   1.597  -6.447  -4.332  -3.242  -2.170  -0.198 1.001 10000
alpha.pink.fecundity         2.273   1.640  -0.886   1.144   2.269   3.369   5.520 1.001 25000
alpha.pink.fl.per.head      -0.145   1.576  -3.228  -1.206  -0.154   0.916   2.951 1.001  8500
alpha.pink.infest           -1.004   1.518  -4.040  -2.017  -0.984   0.022   1.920 1.001 23000
alpha.pink.long             -3.097   1.553  -6.191  -4.128  -3.080  -2.042  -0.091 1.001 25000
alpha.pink.map              -0.176   1.421  -2.979  -1.138  -0.171   0.780   2.608 1.001 18000
alpha.pink.seed.mass        -0.361   1.918  -4.113  -1.664  -0.380   0.933   3.392 1.001  6700
alpha.poly.0[1]             -1.530   2.368  -6.194  -3.127  -1.519   0.058   3.084 1.001 25000
alpha.poly.0[2]             -0.471   2.300  -4.963  -2.034  -0.473   1.068   4.083 1.001  8600
alpha.poly.elev             -0.651   1.724  -4.046  -1.807  -0.636   0.521   2.704 1.001 25000
alpha.poly.fecundity         0.629   1.812  -2.937  -0.589   0.619   1.837   4.212 1.001 11000
alpha.poly.fl.per.head       0.045   1.800  -3.444  -1.188   0.047   1.254   3.611 1.001 13000
alpha.poly.infest            0.139   1.751  -3.272  -1.048   0.132   1.308   3.591 1.001 25000
alpha.poly.long             -0.328   1.726  -3.712  -1.505  -0.319   0.835   3.050 1.001 11000
alpha.poly.map               0.530   1.653  -2.725  -0.595   0.527   1.641   3.794 1.001 25000
alpha.poly.seed.mass         2.324   2.061  -1.674   0.928   2.317   3.712   6.393 1.002  4300
beta.fecundity.elev[1]      -0.208   0.522  -1.233  -0.545  -0.213   0.128   0.853 1.001 25000
beta.fecundity.elev[2]      -0.216   0.124  -0.463  -0.296  -0.215  -0.136   0.030 1.001 25000
beta.fecundity.long[1]       0.015   0.265  -0.513  -0.154   0.016   0.187   0.538 1.001 25000
beta.fecundity.long[2]       0.426   0.200   0.033   0.297   0.425   0.555   0.829 1.001 25000
beta.fecundity.map[1]        0.148   0.373  -0.594  -0.095   0.149   0.390   0.894 1.001 22000
beta.fecundity.map[2]        0.240   0.137  -0.032   0.153   0.239   0.327   0.515 1.001  9700
beta.fl.per.head.elev[1]    -0.394   0.609  -1.602  -0.790  -0.389   0.002   0.816 1.001 16000
beta.fl.per.head.elev[2]     0.221   0.149  -0.073   0.125   0.221   0.317   0.512 1.001 23000
beta.fl.per.head.long[1]     0.021   0.311  -0.596  -0.183   0.020   0.222   0.643 1.001 20000
beta.fl.per.head.long[2]     0.367   0.236  -0.096   0.215   0.366   0.519   0.837 1.001 23000
beta.fl.per.head.map[1]      0.148   0.442  -0.719  -0.140   0.148   0.429   1.029 1.001 17000
beta.fl.per.head.map[2]      0.298   0.164  -0.026   0.192   0.298   0.404   0.627 1.001  8000
beta.infest.elev[1]          0.700   0.632  -0.569   0.293   0.706   1.116   1.925 1.001 25000
beta.infest.elev[2]         -0.192   0.270  -0.726  -0.362  -0.191  -0.021   0.339 1.001 25000
beta.infest.fecundity[1]    -1.529   1.264  -3.961  -2.369  -1.552  -0.704   1.025 1.001 22000
beta.infest.fecundity[2]    -0.353   0.527  -1.402  -0.685  -0.358  -0.019   0.713 1.001 25000
beta.infest.fl.per.head[1]  -0.518   1.373  -3.203  -1.441  -0.522   0.397   2.212 1.001 25000
beta.infest.fl.per.head[2]   0.622   0.442  -0.261   0.344   0.623   0.905   1.491 1.001 25000
beta.infest.long[1]         -0.313   1.031  -2.334  -0.998  -0.319   0.364   1.733 1.001 11000
beta.infest.long[2]         -0.114   0.306  -0.721  -0.306  -0.113   0.079   0.499 1.001 25000
beta.infest.map[1]           0.338   0.452  -0.563   0.043   0.341   0.635   1.222 1.001 20000
beta.infest.map[2]          -0.192   0.375  -0.945  -0.428  -0.195   0.044   0.555 1.001 23000
beta.infest.seed.mass[1]     1.269   1.933  -2.513  -0.025   1.270   2.557   5.120 1.001 13000
beta.infest.seed.mass[2]     0.464   0.477  -0.487   0.165   0.463   0.764   1.410 1.001 25000
beta.pink.0[1,1]            -3.442   3.785 -10.882  -5.982  -3.422  -0.891   3.879 1.001 16000
beta.pink.0[2,1]             2.140   3.662  -4.947  -0.373   2.153   4.585   9.453 1.001  7000
beta.pink.0[3,1]            -2.019   3.681  -9.269  -4.477  -2.032   0.458   5.209 1.001  5700
beta.pink.0[4,1]             6.200   3.757  -1.089   3.658   6.167   8.716  13.655 1.002  3700
beta.pink.0[1,2]            -2.958   3.896 -10.693  -5.572  -2.912  -0.314   4.556 1.001 13000
beta.pink.0[2,2]             2.463   3.831  -4.962  -0.140   2.431   5.050  10.014 1.001 25000
beta.pink.0[3,2]            -1.210   3.865  -8.833  -3.846  -1.204   1.398   6.371 1.002  4300
beta.pink.0[4,2]             5.276   4.004  -2.533   2.551   5.261   7.981  13.154 1.002  4900
beta.pink.0[1,3]            -2.883   3.988 -10.673  -5.564  -2.889  -0.157   4.879 1.001 20000
beta.pink.0[2,3]             1.505   3.968  -6.169  -1.194   1.469   4.184   9.274 1.001  6900
beta.pink.0[3,3]            -2.218   3.968  -9.969  -4.892  -2.214   0.457   5.535 1.002  4100
beta.pink.0[4,3]             5.773   3.937  -1.963   3.118   5.771   8.450  13.517 1.001  6200
beta.pink.0[1,4]            -2.596   3.013  -8.565  -4.618  -2.589  -0.567   3.334 1.001  8700
beta.pink.0[2,4]             1.792   3.271  -4.582  -0.439   1.777   3.989   8.227 1.001 25000
beta.pink.0[3,4]            -1.796   3.280  -8.248  -3.981  -1.803   0.443   4.512 1.001  6600
beta.pink.0[4,4]             7.564   3.115   1.619   5.427   7.509   9.647  13.855 1.002  3500
beta.pink.elev[1,1]         -2.954   3.197  -9.284  -5.127  -2.946  -0.759   3.200 1.001 13000
beta.pink.elev[2,1]         -5.132   2.916 -11.033  -7.080  -5.084  -3.145   0.443 1.001 25000
beta.pink.elev[3,1]         -5.604   2.860 -11.331  -7.507  -5.568  -3.631  -0.164 1.001  8700
beta.pink.elev[4,1]         -2.048   3.174  -8.199  -4.176  -2.080   0.069   4.223 1.001 22000
beta.pink.elev[1,2]         -0.845   2.311  -5.374  -2.400  -0.853   0.705   3.674 1.001 25000
beta.pink.elev[2,2]         -3.920   2.525  -9.077  -5.584  -3.858  -2.180   0.818 1.001 25000
beta.pink.elev[3,2]         -7.861   2.582 -13.148  -9.539  -7.754  -6.059  -3.101 1.001 25000
beta.pink.elev[4,2]         -1.026   2.652  -6.202  -2.836  -1.025   0.767   4.163 1.001 25000
beta.pink.fecundity[1,1]     4.536   3.139  -1.544   2.388   4.502   6.632  10.848 1.001 13000
beta.pink.fecundity[2,1]     1.017   2.914  -4.665  -0.932   1.009   2.943   6.753 1.001  9400
beta.pink.fecundity[3,1]     3.616   2.907  -2.066   1.648   3.595   5.564   9.389 1.001 13000
beta.pink.fecundity[4,1]    -0.374   3.095  -6.488  -2.459  -0.356   1.729   5.663 1.001 25000
beta.pink.fecundity[1,2]     1.433   2.448  -3.437  -0.203   1.441   3.094   6.121 1.001  5900
beta.pink.fecundity[2,2]     4.341   2.680  -0.782   2.517   4.305   6.136   9.717 1.001 25000
beta.pink.fecundity[3,2]     2.306   2.781  -3.017   0.403   2.255   4.148   7.842 1.001 19000
beta.pink.fecundity[4,2]     3.548   2.902  -1.934   1.544   3.485   5.465   9.417 1.001 17000
beta.pink.fl.per.head[1,1]  -0.515   2.911  -6.143  -2.470  -0.522   1.432   5.192 1.001 18000
beta.pink.fl.per.head[2,1]  -0.299   2.603  -5.378  -2.042  -0.303   1.452   4.818 1.001 17000
