Full model...
   DIC: 293.735
    pD: 70.171

                Dbar	Dhat	pD	DIC	
fecundity	33.816	22.760	11.055	44.871	
fl.per.head	42.707	31.878	10.829	53.536	
infest	        57.983	43.160	14.822	72.805	
pink	        22.935	10.255	12.680	35.614	
poly	        31.711	21.967	9.744	41.456	
seed.mass	34.413	23.373	11.040	45.453	
total	        223.564	153.394	70.171	293.735	


Full model results...Inference for Bugs model at "analysis-alt.txt", fit using WinBUGS,
 5 chains, each with 30000 iterations (first 5000 discarded), n.thin = 5
 n.sims = 25000 iterations saved
                              mean     sd    2.5%     25%     50%     75%   97.5%  Rhat n.eff
alpha.poly.fecundity         1.802  2.320  -2.761   0.251   1.813   3.347   6.379 1.002  4600
alpha.poly.fl.per.head       1.004  2.467  -3.824  -0.653   0.994   2.654   5.881 1.001 11000
alpha.poly.seed.mass         0.916  2.544  -4.071  -0.814   0.919   2.613   5.953 1.003  1800
alpha.poly.infest           -0.880  1.919  -4.589  -2.168  -0.887   0.386   2.940 1.001  7900
alpha.poly.long             -0.131  1.876  -3.816  -1.368  -0.147   1.120   3.609 1.001 13000
alpha.poly.map              -0.312  1.848  -3.910  -1.565  -0.301   0.946   3.278 1.001 25000
alpha.poly.elev             -1.002  2.043  -5.015  -2.376  -1.006   0.385   2.984 1.002  4900
alpha.poly.0[1]             -1.976  2.487  -6.857  -3.654  -1.967  -0.293   2.911 1.001 25000
alpha.poly.0[2]              0.214  2.439  -4.637  -1.419   0.236   1.848   4.945 1.001 22000
alpha.pink.fecundity         0.851  2.066  -3.187  -0.529   0.835   2.223   4.940 1.001 14000
alpha.pink.fl.per.head      -0.974  2.086  -5.077  -2.357  -0.974   0.419   3.162 1.002  4400
alpha.pink.seed.mass         0.998  2.349  -3.600  -0.573   1.008   2.570   5.579 1.001  8900
alpha.pink.infest           -0.380  1.824  -4.081  -1.549  -0.331   0.837   3.073 1.002  2500
alpha.pink.long             -3.068  1.647  -6.343  -4.174  -3.051  -1.951   0.117 1.001 25000
alpha.pink.map               0.243  1.540  -2.760  -0.801   0.237   1.278   3.303 1.001 25000
alpha.pink.elev             -1.090  1.766  -4.583  -2.276  -1.097   0.109   2.367 1.001  5200
alpha.pink.0[1]             -2.568  2.582  -7.661  -4.306  -2.547  -0.826   2.456 1.001 15000
alpha.pink.0[2]             -1.132  2.471  -5.973  -2.795  -1.129   0.542   3.672 1.001  8300
