analysis-no-repens.txt 
  Dbar: 221.5821
  Dhat: 128.3501
    pD: 93.23203
   DIC: 314.8142



 analysis-no-repens.txt results...Inference for Bugs model at "analysis-no-repens.txt", fit using jags,
 5 chains, each with 30000 iterations (first 5000 discarded), n.thin = 5
 n.sims = 25000 iterations saved
                           mu.vect sd.vect    2.5%     25%     50%     75%   97.5%  Rhat n.eff
alpha.pink.0[1]             -3.253   2.284  -7.807  -4.784  -3.229  -1.700   1.157 1.001 22000
alpha.pink.0[2]             -1.908   2.056  -5.996  -3.284  -1.904  -0.503   2.105 1.001 13000
alpha.pink.0[3]              4.069   2.212  -0.208   2.576   4.043   5.556   8.482 1.002  4600
alpha.pink.0[4]              4.242   2.560  -0.665   2.482   4.221   5.977   9.312 1.001  7600
alpha.pink.elev             -2.518   1.723  -5.888  -3.685  -2.511  -1.370   0.839 1.001  5900
alpha.pink.fecundity         1.461   1.687  -1.817   0.315   1.444   2.608   4.760 1.001 12000
alpha.pink.fl.per.head       0.216   1.696  -3.118  -0.928   0.221   1.372   3.502 1.001 21000
alpha.pink.infest           -1.010   1.652  -4.253  -2.129  -1.010   0.116   2.208 1.001 25000
alpha.pink.long             -3.118   1.644  -6.368  -4.216  -3.108  -2.000   0.093 1.001 14000
alpha.pink.map              -0.462   1.588  -3.571  -1.527  -0.457   0.606   2.636 1.001 25000
alpha.pink.seed.mass        -0.470   1.867  -4.093  -1.747  -0.475   0.787   3.219 1.001 11000
alpha.poly.0[1]             -2.607   2.058  -6.738  -3.985  -2.559  -1.198   1.322 1.001 20000
alpha.poly.0[2]              0.672   1.835  -2.928  -0.565   0.660   1.917   4.296 1.001 18000
alpha.poly.elev             -0.095   1.877  -3.747  -1.359  -0.095   1.167   3.594 1.001 25000
alpha.poly.fecundity        -0.120   1.955  -3.943  -1.451  -0.115   1.212   3.697 1.001 12000
alpha.poly.fl.per.head       0.352   1.938  -3.428  -0.963   0.356   1.665   4.152 1.001 25000
alpha.poly.infest            0.420   1.895  -3.254  -0.869   0.429   1.695   4.177 1.001 25000
alpha.poly.long             -0.391   1.854  -4.005  -1.634  -0.395   0.856   3.254 1.001 25000
alpha.poly.map               0.182   1.893  -3.500  -1.108   0.175   1.465   3.862 1.001  6700
alpha.poly.seed.mass         1.664   2.052  -2.329   0.281   1.650   3.041   5.716 1.001 16000
beta.fecundity.elev[1]      -0.260   0.113  -0.484  -0.335  -0.260  -0.186  -0.036 1.001 17000
beta.fecundity.elev[2]      -0.260   0.113  -0.484  -0.335  -0.260  -0.186  -0.036 1.001 17000
beta.fecundity.long[1]       0.241   0.139  -0.031   0.151   0.240   0.331   0.519 1.001 25000
beta.fecundity.long[2]       0.241   0.139  -0.031   0.151   0.240   0.331   0.519 1.001 25000
beta.fecundity.map[1]        0.234   0.125  -0.012   0.152   0.234   0.314   0.482 1.001 25000
beta.fecundity.map[2]        0.234   0.125  -0.012   0.152   0.234   0.314   0.482 1.001 25000
beta.fl.per.head.elev[1]     0.133   0.140  -0.146   0.043   0.133   0.223   0.408 1.001 23000
beta.fl.per.head.elev[2]     0.133   0.140  -0.146   0.043   0.133   0.223   0.408 1.001 23000
beta.fl.per.head.long[1]     0.126   0.170  -0.207   0.015   0.126   0.236   0.467 1.001 25000
beta.fl.per.head.long[2]     0.126   0.170  -0.207   0.015   0.126   0.236   0.467 1.001 25000
beta.fl.per.head.map[1]      0.289   0.155  -0.013   0.188   0.289   0.390   0.596 1.001 25000
beta.fl.per.head.map[2]      0.289   0.155  -0.013   0.188   0.289   0.390   0.596 1.001 25000
beta.infest.elev[1]         -0.044   0.236  -0.517  -0.195  -0.043   0.110   0.421 1.001 19000
beta.infest.elev[2]         -0.044   0.236  -0.517  -0.195  -0.043   0.110   0.421 1.001 19000
beta.infest.fecundity[1]    -0.512   0.429  -1.340  -0.795  -0.523  -0.238   0.363 1.001 11000
beta.infest.fecundity[2]    -0.512   0.429  -1.340  -0.795  -0.523  -0.238   0.363 1.001 11000
beta.infest.fl.per.head[1]   0.466   0.382  -0.298   0.221   0.471   0.716   1.216 1.001 25000
beta.infest.fl.per.head[2]   0.466   0.382  -0.298   0.221   0.471   0.716   1.216 1.001 25000
beta.infest.long[1]         -0.051   0.250  -0.532  -0.215  -0.055   0.110   0.452 1.001  5400
beta.infest.long[2]         -0.051   0.250  -0.532  -0.215  -0.055   0.110   0.452 1.001  5400
beta.infest.map[1]           0.093   0.228  -0.364  -0.053   0.095   0.242   0.540 1.001 11000
beta.infest.map[2]           0.093   0.228  -0.364  -0.053   0.095   0.242   0.540 1.001 11000
beta.infest.seed.mass[1]     0.485   0.409  -0.319   0.220   0.485   0.749   1.300 1.001 13000
beta.infest.seed.mass[2]     0.485   0.409  -0.319   0.220   0.485   0.749   1.300 1.001 13000
beta.pink.0[1,1]            -3.590   3.674 -10.953  -6.043  -3.484  -1.061   3.459 1.001 24000
beta.pink.0[2,1]            -3.128   2.956  -8.932  -5.098  -3.122  -1.139   2.707 1.001 11000
beta.pink.0[3,1]             6.546   3.285   0.320   4.308   6.471   8.704  13.167 1.001  8800
beta.pink.0[4,1]             5.008   3.841  -2.370   2.394   4.961   7.581  12.615 1.001 18000
beta.pink.0[1,2]            -4.660   3.427 -11.565  -6.913  -4.607  -2.287   1.843 1.001 18000
beta.pink.0[2,2]            -2.443   3.174  -8.692  -4.562  -2.458  -0.310   3.803 1.001 25000
beta.pink.0[3,2]             6.084   3.399  -0.448   3.765   6.020   8.346  12.909 1.001  5700
beta.pink.0[4,2]             4.498   3.954  -3.215   1.825   4.471   7.150  12.273 1.001 10000
beta.pink.0[1,3]            -3.933   3.673 -11.201  -6.399  -3.939  -1.446   3.210 1.001 25000
beta.pink.0[2,3]            -1.116   3.507  -8.031  -3.505  -1.122   1.260   5.751 1.001  9000
beta.pink.0[3,3]             1.524   3.498  -5.300  -0.829   1.499   3.886   8.470 1.001  5900
beta.pink.0[4,3]             4.931   3.848  -2.496   2.304   4.913   7.514  12.618 1.001  9500
beta.pink.0[1,4]            -4.022   2.608  -9.227  -5.769  -3.981  -2.229   0.996 1.001  8300
beta.pink.0[2,4]            -2.831   2.418  -7.611  -4.460  -2.797  -1.183   1.838 1.001 21000
beta.pink.0[3,4]             6.198   2.395   1.645   4.550   6.150   7.795  10.984 1.001  7600
beta.pink.0[4,4]             6.739   3.125   0.823   4.609   6.661   8.792  13.086 1.001 10000
beta.pink.elev[1,1]         -1.109   2.245  -5.467  -2.620  -1.128   0.404   3.344 1.001 25000
beta.pink.elev[2,1]         -5.428   2.235  -9.957  -6.917  -5.370  -3.887  -1.164 1.001  9400
beta.pink.elev[3,1]         -5.998   2.030 -10.196  -7.325  -5.909  -4.577  -2.287 1.002  3900
beta.pink.elev[4,1]         -0.112   2.434  -4.886  -1.749  -0.121   1.521   4.678 1.001 12000
beta.pink.elev[1,2]         -1.109   2.245  -5.467  -2.620  -1.128   0.404   3.344 1.001 25000
beta.pink.elev[2,2]         -5.428   2.235  -9.957  -6.917  -5.370  -3.887  -1.164 1.001  9400
beta.pink.elev[3,2]         -5.998   2.030 -10.196  -7.325  -5.909  -4.577  -2.287 1.002  3900
beta.pink.elev[4,2]         -0.112   2.434  -4.886  -1.749  -0.121   1.521   4.678 1.001 12000
beta.pink.fecundity[1,1]     2.948   1.951  -0.854   1.621   2.947   4.235   6.830 1.001 15000
beta.pink.fecundity[2,1]     2.280   2.106  -1.733   0.836   2.221   3.656   6.557 1.001 16000
beta.pink.fecundity[3,1]     0.481   1.841  -3.096  -0.776   0.471   1.711   4.130 1.001  7300
beta.pink.fecundity[4,1]     1.596   2.582  -3.337  -0.150   1.555   3.307   6.797 1.001 19000
beta.pink.fecundity[1,2]     2.948   1.951  -0.854   1.621   2.947   4.235   6.830 1.001 15000
beta.pink.fecundity[2,2]     2.280   2.106  -1.733   0.836   2.221   3.656   6.557 1.001 16000
beta.pink.fecundity[3,2]     0.481   1.841  -3.096  -0.776   0.471   1.711   4.130 1.001  7300
beta.pink.fecundity[4,2]     1.596   2.582  -3.337  -0.150   1.555   3.307   6.797 1.001 19000
beta.pink.fl.per.head[1,1]   1.734   2.315  -2.843   0.204   1.734   3.292   6.280 1.001 21000
beta.pink.fl.per.head[2,1]  -0.173   1.983  -4.186  -1.476  -0.126   1.182   3.558 1.001 17000
