analysis-zeros.txt 
  Dbar: 240.8228
  Dhat: 187.9905
    pD: 52.83233
   DIC: 293.6552



 analysis-zeros.txt results...Inference for Bugs model at "analysis-zeros.txt", fit using jags,
 5 chains, each with 30000 iterations (first 5000 discarded), n.thin = 5
 n.sims = 25000 iterations saved
                           mu.vect sd.vect    2.5%     25%     50%     75%   97.5%  Rhat n.eff
alpha.pink.0[1]              0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
alpha.pink.0[2]              0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
alpha.pink.0[3]              0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
alpha.pink.0[4]              0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
alpha.pink.elev              0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
alpha.pink.fecundity         0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
alpha.pink.fl.per.head       0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
alpha.pink.infest            0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
alpha.pink.long              0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
alpha.pink.map               0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
alpha.pink.seed.mass         0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
alpha.poly.0[1]              0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
alpha.poly.0[2]              0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
alpha.poly.elev              0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
alpha.poly.fecundity         0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
alpha.poly.fl.per.head       0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
alpha.poly.infest            0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
alpha.poly.long              0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
alpha.poly.map               0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
alpha.poly.seed.mass         0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
beta.fecundity.elev[1]      -0.258   0.124  -0.505  -0.338  -0.258  -0.177  -0.015 1.001 16000
beta.fecundity.elev[2]      -0.258   0.124  -0.505  -0.338  -0.258  -0.177  -0.015 1.001 16000
beta.fecundity.long[1]       0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
beta.fecundity.long[2]       0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
beta.fecundity.map[1]        0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
beta.fecundity.map[2]        0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
beta.fl.per.head.elev[1]     0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
beta.fl.per.head.elev[2]     0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
beta.fl.per.head.long[1]     0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
beta.fl.per.head.long[2]     0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
beta.fl.per.head.map[1]      0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
beta.fl.per.head.map[2]      0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
beta.infest.elev[1]          0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
beta.infest.elev[2]          0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
beta.infest.fecundity[1]     0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
beta.infest.fecundity[2]     0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
beta.infest.fl.per.head[1]   0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
beta.infest.fl.per.head[2]   0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
beta.infest.long[1]          0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
beta.infest.long[2]          0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
beta.infest.map[1]           0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
beta.infest.map[2]           0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
beta.infest.seed.mass[1]     0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
beta.infest.seed.mass[2]     0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
beta.pink.0[1,1]            -1.603   2.464  -6.821  -3.176  -1.459   0.135   2.785 1.001 17000
beta.pink.0[2,1]            -3.966   1.833  -7.662  -5.180  -3.915  -2.700  -0.476 1.001 11000
beta.pink.0[3,1]             4.506   2.039   0.792   3.086   4.405   5.800   8.786 1.001 25000
beta.pink.0[4,1]             1.500   2.556  -3.238  -0.267   1.395   3.155   6.800 1.001 25000
beta.pink.0[1,2]            -3.274   2.258  -7.975  -4.709  -3.191  -1.722   0.933 1.001 25000
beta.pink.0[2,2]            -2.755   2.113  -6.889  -4.168  -2.766  -1.352   1.419 1.001 17000
beta.pink.0[3,2]             2.354   2.417  -2.196   0.713   2.275   3.889   7.366 1.001  7900
beta.pink.0[4,2]             0.693   2.815  -4.612  -1.242   0.621   2.552   6.446 1.001 17000
beta.pink.0[1,3]            -1.204   2.797  -6.783  -3.059  -1.185   0.674   4.229 1.001 14000
beta.pink.0[2,3]            -0.510   2.636  -5.717  -2.288  -0.479   1.249   4.637 1.001 11000
beta.pink.0[3,3]            -2.157   2.435  -7.139  -3.763  -2.105  -0.497   2.461 1.001 25000
beta.pink.0[4,3]             1.496   2.710  -3.721  -0.344   1.446   3.320   6.936 1.001 22000
beta.pink.0[1,4]            -0.335   1.562  -3.483  -1.352  -0.297   0.731   2.623 1.001 14000
beta.pink.0[2,4]            -0.436   1.568  -3.503  -1.479  -0.436   0.609   2.696 1.001 19000
beta.pink.0[3,4]             3.868   1.738   0.599   2.674   3.814   5.021   7.394 1.001  9100
beta.pink.0[4,4]             2.900   2.275  -1.393   1.325   2.847   4.410   7.555 1.001 25000
beta.pink.elev[1,1]          1.779   1.210  -0.453   0.939   1.727   2.565   4.279 1.001  8600
beta.pink.elev[2,1]         -3.614   1.416  -6.605  -4.530  -3.553  -2.608  -1.057 1.001  8600
beta.pink.elev[3,1]         -3.511   1.444  -6.478  -4.457  -3.460  -2.510  -0.791 1.001  9900
beta.pink.elev[4,1]          1.536   1.771  -1.892   0.337   1.522   2.697   5.072 1.001 16000
beta.pink.elev[1,2]          1.779   1.210  -0.453   0.939   1.727   2.565   4.279 1.001  8600
beta.pink.elev[2,2]         -3.614   1.416  -6.605  -4.530  -3.553  -2.608  -1.057 1.001  8600
beta.pink.elev[3,2]         -3.511   1.444  -6.478  -4.457  -3.460  -2.510  -0.791 1.001  9900
beta.pink.elev[4,2]          1.536   1.771  -1.892   0.337   1.522   2.697   5.072 1.001 16000
beta.pink.fecundity[1,1]     0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
beta.pink.fecundity[2,1]     0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
beta.pink.fecundity[3,1]     0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
beta.pink.fecundity[4,1]     0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
beta.pink.fecundity[1,2]     0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
beta.pink.fecundity[2,2]     0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
beta.pink.fecundity[3,2]     0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
beta.pink.fecundity[4,2]     0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
beta.pink.fl.per.head[1,1]   0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
beta.pink.fl.per.head[2,1]   0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
beta.pink.fl.per.head[3,1]   0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
beta.pink.fl.per.head[4,1]   0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
beta.pink.fl.per.head[1,2]   0.000   0.000   0.000   0.000   0.000   0.000   0.000 1.000     1
